,Time,ID,User,Name,User Status Count,Tweet,Favorite,Retweets Count,Device
0,2022-03-28 09:37:49,1508377813950210048,hlmshkr,Mindscape,3915,"next coding project Screener saham with @_ifzat , then a long term indie game and a home automation solution.  Exciting plan ahead",0,0,Twitter for iPhone
1,2022-03-28 09:28:52,1508375558874288134,SatrioAkira,DM or Join Tele. Satrio Akira Hantanto,721,@Saham_fess Hold,0,0,Twitter for Android
2,2022-03-28 08:56:46,1508367480485720068,KiwoomID,Kiwoom Sekuritas Indonesia,21488,Closing II 28 Maret 2022  #kiwoomsekuritas #saham #hero #stockmarkets #ihsg https://t.co/Rzu2JFj24Y,0,0,Twitter Web App
3,2022-03-28 08:15:33,1508357111482241028,SatrioAkira,DM or Join Tele. Satrio Akira Hantanto,721,@Saham_fess Hold,0,0,Twitter for Android
4,2022-03-28 07:41:30,1508348540787249154,bellaokt,JUAL FROZEN FOOD,64796,@Saham_fess Happy Cuanki😗,0,0,Twitter for iPhone
5,2022-03-28 07:23:09,1508343923064066056,Saham_fess,Sahamfess 📈,32136,in coal we trust shm! 🥺 https://t.co/T8IG7oJmZz,4,0,Saham fess 📈
6,2022-03-28 07:13:55,1508341600669233153,khairulamirin7,KA7,15126,@AbamSaham Noted Abam Saham✍️,0,0,Twitter for iPhone
7,2022-03-28 07:12:37,1508341270254854147,saliyees,le roi,7731,@Saham_fess Congrats!👍,0,0,Twitter for Android
8,2022-03-28 06:13:26,1508326377208283136,profesor_saham,PROFESOR,14504,RT @Covel: That’s volatility. https://t.co/y6zWbLyWbO,0,5,Twitter for Android
9,2022-03-28 05:29:40,1508315364555657217,sukatehkotak,OJI,30745,"@Saham_fess stockbit, siminvest",0,0,Twitter for iPhone
10,2022-03-28 05:06:58,1508309652823744512,KhairinaAzman,KAY🌻,14099,Currently saham adin 📈📈📈,0,0,Twitter for iPhone
11,2022-03-28 04:59:08,1508307679697338369,bicara_saham,BICARA SAHAM,1083,"RT @nextbigtrade: There's 2 ways to buy a Stage 2 breakout, on the week of the breakout (A) and on the first pullback after the breakout we…",0,25,Twitter Web App
12,2022-03-28 04:24:04,1508298856286457858,alifnakyuko,Hippopotamus,9952,@Saham_fess open lock up,0,0,Twitter for Android
13,2022-03-28 04:05:17,1508294129758846979,Demarcoluxx,Jeruxx,680,@Saham_fess Cancel,0,0,Twitter for Android
14,2022-03-28 03:58:08,1508292327902953472,Saham_fess,Sahamfess 📈,32136,Shm! Icbp the next unvr,0,0,Saham fess 📈
15,2022-03-28 03:48:42,1508289954828357636,SatrioAkira,DM or Join Tele. Satrio Akira Hantanto,721,"@Saham_fess Downtrend, no.",0,0,Twitter for Android
16,2022-03-28 03:36:40,1508286926662557700,equityworld_sby,PT Equityworld Futur,17822,"Equity World Surabaya : Saham blue chips China turun 0,8 Persen – Equityworld Futures Surabaya https://t.co/LwaZFnOeGe",0,0,Twitter Web App
17,2022-03-28 03:31:05,1508285521059250176,soundfactorybdg,SoundFactory Bandung,1505,"""MONEY.. MONEY !"" Every Monday 06-07 pm.. Listen @ Chevy Radio 103.5 FM Bandung 📻💸💸😊
#saham #StockMarket… https://t.co/lI17baKgbr",1,0,Twitter for Android
18,2022-03-28 02:56:11,1508276739352408068,avenxgerr,ً,3522,@Saham_fess selot,0,0,Twitter for iPhone
19,2022-03-28 02:55:17,1508276510058508289,jervaleskaa,ae,1678,@Saham_fess BRMS,0,0,Twitter for iPhone
20,2022-03-28 02:38:11,1508272209571508224,Achonovski22,The Grey Head,19266,@Saham_fess Buy hold aja mending nder..,0,0,Twitter for Android
21,2022-03-28 02:37:49,1508272114155266051,BukaBapakl,Shopee,4198,@Saham_fess Nope,0,0,Twitter for Android
22,2022-03-28 02:35:28,1508271523852808194,Demarcoluxx,Jeruxx,680,@Saham_fess DMAS,0,0,Twitter for Android
23,2022-03-28 02:34:22,1508271248744194056,Demarcoluxx,Jeruxx,680,@Saham_fess SHID,0,0,Twitter for Android
24,2022-03-28 02:33:56,1508271140137213955,KiwoomID,Kiwoom Sekuritas Indonesia,21488,Daily News 28 March 2022 #kiwoomsekuritas #saham #investing #investasi #beritasaham https://t.co/uFEwHHE04Z,1,0,Twitter Web App
25,2022-03-28 02:15:08,1508266407343300610,jualbatiklaris,리타,1106,@Saham_fess east?,0,0,Twitter for Android
26,2022-03-28 02:02:15,1508263163489243139,Xsebec,Ķůś,8157,@Saham_fess Hotel? Trivago,0,0,Twitter for Android
27,2022-03-28 02:00:11,1508262646382215170,ciptabluechip,Ciptadana Bluechip,1101,"Update Commodity Price &amp; Pick of The Day (28 March 2022)

*Note : angka level entry atau out Pick of The Day dapat… https://t.co/f3iy2lIRPj",0,0,Twitter for Android
28,2022-03-28 01:50:56,1508260316097900548,cuan_saham,Blockchain_Enthusiast,300,"RT @CryptoWhale: The greatest enemy in trading is your ego.

Your mind tricks you to:

- Break your rules
- Let your losing trades run
- Cl…",0,96,Twitter for Android
29,2022-03-28 01:40:50,1508257776250032128,TalkToPhillip,Phillip Sekuritas,36935,#PasarModal #Saham #BursaEfek #DuityangKerja *Disclaimer On https://t.co/hK5BYQAsHY,0,0,Twitter for iPhone
30,2022-03-28 01:34:55,1508256286059933696,KiwoomID,Kiwoom Sekuritas Indonesia,21488,Daily Stock Pick 28 Maret 2022 #kiwoomsekuritas #hero #stocksmarket #investing #saham https://t.co/lSSy2VkXfx,0,0,Twitter Web App
31,2022-03-28 01:34:28,1508256174365605890,KiwoomID,Kiwoom Sekuritas Indonesia,21488,Market Update 28 March 2022 #kiwoomsekuritas #hero #stocksmarket #investing #saham https://t.co/QZp2tsO79f,0,0,Twitter Web App
32,2022-03-28 01:22:57,1508253273786294273,Saham_fess,Sahamfess 📈,32136,ipo shm! wirg wdyt? buy bye,0,0,Saham fess 📈
33,2022-03-28 00:40:46,1508242661668532224,SahamCpr,CPR Saham,6237,CMRY  #saham #cprsaham #mbahcpr https://t.co/Z4ajj9vkw3,0,0,IFTTT
34,2022-03-28 00:40:41,1508242640298467336,SahamCpr,CPR Saham,6237,CTRA  #saham #cprsaham #mbahcpr https://t.co/2PzQmu39c5,0,0,IFTTT
35,2022-03-28 00:40:30,1508242591250276353,SahamCpr,CPR Saham,6237,ANTM  #saham #cprsaham #mbahcpr https://t.co/Ig53g3lK0V,0,0,IFTTT
36,2022-03-28 00:38:44,1508242149552590848,Saham_fess,Sahamfess 📈,32136,Shm! go BAUT go BAUT go,2,0,Saham fess 📈
37,2022-03-28 00:31:21,1508240288497946624,JRenggana,Neru Neru Neru,29704,@profesor_saham Cape.,0,0,Twitter for iPhone
38,2022-03-28 00:25:36,1508238843148873732,Donnyhotbdg,menolaktuaa,2122,@Saham_fess BBTN MYOR INDF JSMR,0,0,Twitter for Android
